266c1e7b2c5d5b18984d0b674817797b3375819bba9f96392bb3e7feb0cdf846,617788fc1609523ee88bdd703937da5489cdbad45c76336e9eb7b90628a3f1c8
"1","0"
"2","53235"
"3","106470"
"4","159705"
"5","212940"
"6","266175"
"7","319410"
"8","372645"
"9","425880"
"10","479115"
"11","532350"
"12","585585"
"13","638820"
"14","692055"
"15","745290"
"16","798525"
"17","851760"
"18","904995"
"19","958230"
"20","1011465"
"21","1064700"
"22","1117935"
"23","1171170"
"24","1224405"
"25","1277640"
"26","1330875"
"27","1384110"
"28","1437345"
"29","1490580"
"30","1543815"
"31","1597050"
"32","1650285"
"33","1703520"
"34","1756755"
"35","1809990"
"36","1863225"
"37","1916460"
"38","1969695"
"39","2022930"
"40","2076165"
"41","2129400"
"42","2182635"
"43","2235870"
"44","2289105"
"45","2342340"
"46","2395575"
"47","2448810"
"48","2502045"
"49","2555280"
"50","2608515"
"51","2661750"
"52","2714985"
"53","2768220"
"54","2821455"
"55","2874690"
"56","2927925"
"57","2981160"
"58","3034395"
"59","3087630"
"60","3140865"
"61","3194100"
"62","3247335"
"63","3300570"
"64","3353805"
"65","3407040"
"66","3460275"
"67","3513510"
"68","3566745"
"69","3619980"
"70","3673215"
"71","3726450"
"72","3779685"
"73","3832920"
"74","3886155"
"75","3939390"
"76","3992625"
"77","4045860"
"78","4099095"
"79","4152330"
"80","4205565"
"81","4258800"
"82","4312035"
"83","4365270"
"84","4418505"
"85","4471740"
"86","4524975"
"87","4578210"
"88","4631445"
"89","4684680"
"90","4737915"
"91","4791150"
"92","4844385"
"93","4897620"
"94","4950855"
"95","5004090"
"96","5057325"
"97","5110560"
"98","5163795"
"99","5217030"
"100","5270265"
"101","5323500"
"102","5376735"
"103","5429970"
"104","5483205"
"105","5536440"
"106","5589675"
"107","5642910"
"108","5696145"
"109","5749380"
"110","5802615"
"111","5855850"
"112","5909085"
"113","5962320"
"114","6015555"
"115","6068790"
"116","6122025"
"117","6175260"
"118","6228495"
